FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
DATA,160,0,0,0,0,0,0,0,0,32,0,0,0,0,20,0,30,0,0,0,0,81,0,0,0,0,0,0,44,207,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,164,0,0,0,0,0,0,0,0,36,0,0,0,0,86,0,22,0,0,0,0,110,0,0,0,0,0,19,43,193,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,122,0,0,0,0,0,0,0,23,39,0,0,0,0,0,0,29,0,0,0,0,133,0,0,0,0,0,59,50,195,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,170,0,0,0,0,0,0,0,17,41,0,0,0,0,83,0,29,0,0,0,0,157,0,0,0,0,0,46,40,198,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,187,0,0,0,0,0,0,0,18,40,0,0,0,0,0,0,30,0,0,0,0,167,0,0,0,0,0,37,0,198,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,187,0,0,0,0,0,0,0,16,36,0,0,0,0,69,0,24,0,0,0,0,155,0,0,0,0,0,38,17,213,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,201,0,0,0,0,0,0,0,0,32,0,0,0,0,22,0,31,0,0,0,0,168,0,0,0,0,0,35,0,199,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,210,0,0,0,0,0,0,0,0,32,0,0,0,0,65,0,27,0,16,0,0,164,0,0,0,0,0,44,0,213,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,216,0,0,0,0,0,0,0,20,41,0,0,0,0,30,0,28,0,16,0,0,166,0,0,0,0,0,45,0,215,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,221,0,0,0,0,0,0,0,0,31,0,0,0,0,25,0,26,0,0,0,0,187,0,0,0,0,0,27,0,179,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,197,0,0,0,0,0,0,0,16,30,0,0,0,0,47,0,27,0,0,0,0,165,0,0,0,0,0,18,0,171,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,226,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,17,0,0,0,0,168,0,0,0,0,0,23,16,167,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,189,0,0,0,0,0,0,0,17,25,0,0,0,0,73,0,0,0,0,0,0,188,0,0,0,0,0,26,0,165,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,193,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,34,0,174,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,209,0,0,0,0,0,0,0,0,31,0,0,0,0,89,0,19,0,0,0,0,179,0,0,0,0,0,38,17,187,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,219,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,24,0,0,0,0,173,0,0,0,0,0,36,0,186,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,229,0,0,0,0,0,0,0,0,35,0,0,0,0,45,0,22,0,0,0,0,168,0,0,0,0,0,36,0,187,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,213,0,0,0,0,0,0,0,0,34,0,0,0,0,22,0,21,0,0,0,0,173,0,0,0,0,0,32,0,190,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,236,0,0,0,0,0,0,0,0,34,0,0,0,0,20,0,20,0,0,0,0,157,0,0,0,0,0,41,0,208,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,240,0,0,0,0,0,0,0,0,19,0,0,0,0,58,0,18,0,0,0,0,168,0,0,0,0,0,39,0,210,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,226,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,20,0,0,0,0,177,0,0,0,0,0,44,0,210,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,239,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,16,0,0,171,0,0,0,0,0,36,0,211,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,241,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,20,0,16,0,0,176,0,0,0,0,0,38,0,212,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,220,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,20,0,0,0,0,174,0,0,0,0,0,41,0,213,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,235,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,24,0,0,0,0,175,0,0,0,0,0,34,0,206,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,229,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,171,0,0,0,0,0,31,0,203,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,236,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,22,0,0,0,0,180,0,0,0,0,0,39,0,214,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,53,0,215,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,227,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,175,0,0,0,0,0,40,0,201,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,186,0,0,0,0,0,39,0,185,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,239,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,19,0,0,0,0,187,0,0,0,0,0,36,0,205,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,178,0,0,0,0,0,41,0,202,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,241,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,22,0,0,0,0,193,0,0,0,0,0,26,0,195,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,198,0,0,0,0,0,37,0,198,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,250,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,194,0,0,0,0,0,41,0,209,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,237,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,20,0,0,0,0,189,0,0,0,0,0,37,0,210,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,187,0,0,0,0,0,23,0,199,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,249,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,22,0,0,0,0,186,0,0,0,0,0,31,0,197,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,186,0,0,0,0,0,26,0,205,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,254,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,20,0,0,0,0,188,0,0,0,0,0,42,0,196,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,251,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,17,0,0,0,0,179,0,0,0,0,0,19,0,199,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,181,0,0,0,0,0,28,0,193,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,250,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,21,0,0,0,0,179,0,0,0,0,0,20,0,189,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,21,0,183,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,237,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,182,0,0,0,0,0,29,0,174,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,231,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,18,0,0,0,0,187,0,0,0,0,0,30,0,180,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,234,0,0,0,0,0,0,0,21,0,0,0,0,0,26,0,0,0,0,0,0,186,0,0,0,0,0,31,0,178,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,230,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,21,0,0,0,0,193,0,0,0,0,0,30,0,175,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,188,0,0,0,0,0,28,0,179,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,248,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,20,0,0,0,0,186,0,0,0,0,0,25,0,171,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,255,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,19,0,0,0,0,185,0,0,0,0,0,23,0,171,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,256,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,18,0,0,0,0,174,0,0,0,0,0,20,0,177,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,251,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,23,0,0,0,0,173,0,0,0,0,0,22,0,167,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,27,0,171,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,228,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,19,0,0,0,0,170,0,0,0,0,0,27,0,170,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,258,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,173,0,0,0,0,0,31,0,178,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,256,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,17,0,0,0,0,172,0,0,0,0,0,24,0,179,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA,241,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,18,0,0,0,0,182,0,0,0,0,0,27,0,187,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
