FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,19,80,21,0,0,0,0,0,179,214,59,0,0,0,0,43,425,669,180,0,0,0,22,71,332,464,251,0,0,0,21,20,72,125,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,19,20,19,0,0,0,0,0,0,0,79,0,0,0,0,0,0,186,216,56,0,0,0,0,35,429,678,185,0,0,0,22,66,324,469,250,0,0,0,20,27,73,129,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,26,81,22,0,0,0,0,0,186,225,64,0,0,0,0,45,425,671,186,0,0,0,26,64,332,475,250,0,0,0,28,26,65,130,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,25,89,23,0,0,0,0,0,189,220,68,0,0,0,0,35,422,683,187,0,0,0,33,65,327,473,255,0,0,0,20,26,71,133,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,26,0,0,0,0,0,0,18,82,21,0,0,0,0,0,190,213,62,0,0,0,0,48,429,667,174,0,0,0,32,60,328,474,253,0,0,0,17,28,71,127,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,22,76,17,0,0,0,0,0,188,212,61,0,0,0,0,47,432,674,185,0,0,0,29,64,329,471,249,0,0,0,18,23,71,127,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,79,25,0,0,0,0,0,191,211,61,0,0,0,0,44,432,664,184,0,0,0,29,64,335,474,254,0,0,0,0,26,65,134,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,0,0,0,0,0,0,20,88,24,0,0,0,0,0,188,220,55,0,0,0,0,47,429,671,177,0,0,0,30,64,332,475,249,0,0,0,16,27,78,125,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,25,86,0,0,0,0,0,0,183,213,62,0,0,0,0,45,432,673,184,0,0,0,20,65,338,474,251,0,0,0,20,24,72,131,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,0,0,0,0,0,0,17,85,0,0,0,0,0,0,192,215,68,0,0,0,0,45,429,673,174,0,0,0,22,65,331,473,250,0,0,0,17,19,74,126,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0,0,0,0,0,0,19,83,22,0,0,0,0,0,185,222,64,0,0,0,0,42,425,670,179,0,0,0,27,67,330,475,247,0,0,0,23,26,75,139,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,30,0,0,0,0,0,0,23,83,25,0,0,0,0,0,192,221,74,0,0,0,0,42,430,670,182,0,0,0,32,71,335,475,251,0,0,0,18,27,74,131,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,19,0,0,0,0,0,0,20,72,23,0,0,0,0,0,192,217,63,0,0,0,0,45,423,672,181,0,0,0,30,64,335,471,242,0,0,0,0,27,63,130,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,22,0,0,0,0,0,0,21,88,20,0,0,0,0,0,186,221,71,0,0,0,0,52,431,674,181,0,0,0,33,64,337,470,244,0,0,0,19,28,71,135,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,25,0,0,0,0,0,0,24,81,17,0,0,0,0,0,192,218,59,0,0,0,0,41,426,671,183,0,0,0,29,69,323,476,247,0,0,0,0,24,67,139,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,0,0,0,0,0,0,16,86,20,0,0,0,0,0,179,217,72,0,0,0,0,37,428,670,187,0,0,0,29,71,338,477,252,0,0,0,0,25,70,130,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,21,0,0,0,0,0,0,22,85,17,0,0,0,0,0,188,218,63,0,0,0,0,38,428,667,180,0,0,0,22,70,336,474,251,0,0,0,20,21,75,134,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,82,19,0,0,0,0,0,191,207,67,0,0,0,0,31,436,668,182,0,0,0,28,69,330,474,248,0,0,0,17,23,72,133,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,0,0,0,0,0,0,0,25,94,21,0,0,0,0,0,192,224,66,0,0,0,0,38,431,666,182,0,0,0,30,72,333,479,256,0,0,0,0,16,72,131,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,21,0,0,0,0,0,0,28,82,20,0,0,0,0,0,194,223,67,0,0,0,0,44,429,670,180,0,0,0,27,71,328,473,247,0,0,0,18,22,62,126,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,25,0,0,0,0,0,0,26,92,0,0,0,0,0,16,196,221,67,0,0,0,0,46,427,665,176,0,0,0,31,67,341,475,247,0,0,0,19,23,71,132,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,18,0,0,0,0,0,0,26,94,21,0,0,0,0,0,186,217,71,0,0,0,0,41,437,668,176,0,0,0,19,71,347,478,250,0,0,0,21,17,80,140,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,20,95,19,0,0,0,0,0,192,226,74,0,0,0,0,43,429,666,175,0,0,0,28,69,335,473,253,0,0,0,0,24,72,135,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,29,23,0,0,0,0,0,0,24,92,20,0,0,0,0,0,192,229,74,0,0,0,0,46,433,666,179,0,0,0,26,66,328,473,249,0,0,0,18,16,69,133,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,0,0,0,0,0,0,23,95,16,0,0,0,0,0,189,226,63,0,0,0,0,54,428,670,177,0,0,0,28,57,331,465,255,0,0,0,0,20,67,135,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,26,0,0,0,0,0,0,29,99,26,0,0,0,0,0,193,229,78,0,0,0,0,40,416,670,191,0,0,0,22,65,308,464,254,0,0,0,18,0,59,127,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,28,0,0,0,0,0,0,29,86,26,0,0,0,0,0,190,220,77,0,0,0,0,41,413,666,182,0,0,0,26,61,316,466,244,0,0,0,0,22,62,118,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,24,0,0,0,0,0,0,23,92,21,0,0,0,0,0,194,221,67,0,0,0,0,44,430,671,183,0,0,0,24,68,323,466,256,0,0,0,0,0,66,114,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,27,20,0,0,0,0,0,0,26,87,24,0,0,0,0,0,191,223,70,0,0,0,0,28,413,663,183,0,0,0,28,66,312,457,245,0,0,0,22,23,73,125,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,33,37,0,0,0,0,0,0,29,99,27,0,0,0,0,0,189,220,76,0,0,0,0,38,417,673,191,0,0,0,25,63,317,460,252,0,0,0,16,26,68,134,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0,0,0,0,0,0,28,90,21,0,0,0,0,0,195,223,68,0,0,0,0,40,422,669,178,0,0,0,25,59,323,458,241,0,0,0,31,24,71,122,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,26,0,0,0,0,0,0,27,96,28,0,0,0,0,0,192,223,74,0,0,0,0,34,419,670,186,0,0,0,21,64,314,459,238,0,0,0,21,18,70,124,0,0
