FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
35,35,19,0,0,21,0,0,50,58,20,47,73,118,95,0,0,0,0,0,81,159,0,45,0,0,0,0,0,88,200,35,29,54,0,23,65,155,238,91,96,127,43,0,87,196,82,38,51,20,0,30,48,28,0,0,0,0,0,0,0,0,0,0
39,36,0,0,0,0,0,0,52,64,31,47,69,119,100,0,0,22,0,20,77,180,0,50,0,0,0,0,0,88,198,52,27,54,0,17,54,157,231,92,95,130,57,0,93,197,76,32,58,25,0,33,45,34,0,0,0,0,0,0,0,0,0,0
35,31,0,0,0,21,0,0,54,61,21,48,72,107,97,0,0,21,0,0,80,180,0,51,0,0,0,0,0,94,202,43,26,60,0,17,58,158,235,89,95,123,53,0,89,201,84,36,51,25,0,34,44,38,21,0,0,0,0,0,0,0,0,0
29,38,0,19,0,20,0,0,50,68,29,53,69,119,102,0,0,23,0,24,82,175,0,36,0,0,0,0,0,96,195,49,17,61,0,28,66,158,234,88,95,131,50,0,95,199,81,30,56,26,0,27,43,33,0,0,0,0,0,0,0,0,0,0
35,42,0,0,0,18,0,0,54,66,22,51,70,112,106,0,0,17,0,19,81,185,0,45,0,0,0,0,0,100,194,46,25,62,17,17,70,168,236,88,100,137,50,0,96,200,84,35,57,27,0,36,49,33,19,0,0,0,0,0,0,0,0,0
36,32,17,0,0,23,0,0,53,65,18,46,76,115,104,0,0,21,0,18,74,186,0,44,0,0,0,0,0,87,181,36,26,63,0,29,71,163,234,87,96,139,47,0,91,203,71,37,55,19,0,31,41,35,0,0,0,0,0,0,0,0,0,0
30,44,16,0,0,27,0,0,57,61,26,53,64,110,103,0,0,24,0,21,74,175,0,48,0,0,0,0,0,95,182,50,24,57,17,24,64,163,226,68,104,127,52,0,95,192,79,31,59,0,0,34,50,37,0,0,0,0,0,0,0,0,0,0
38,44,0,0,0,23,0,0,49,69,23,58,70,117,109,0,0,27,0,0,87,188,0,46,0,0,0,0,0,94,191,46,25,63,0,24,67,159,230,87,98,132,51,0,92,199,85,35,54,21,19,36,50,35,23,0,0,0,0,0,0,0,0,0
30,32,0,0,0,22,0,0,56,69,26,52,68,117,107,0,0,0,0,18,79,189,0,45,0,0,0,0,0,84,197,45,21,59,17,29,70,152,227,79,98,134,57,0,94,201,80,33,53,26,0,33,44,33,24,0,0,0,0,0,0,0,0,0
30,44,19,16,0,27,0,0,60,71,30,64,70,112,109,0,0,0,20,24,89,190,0,51,0,0,0,0,0,89,204,54,20,65,17,30,67,152,232,87,94,135,52,0,82,196,82,24,58,21,0,35,45,29,20,0,0,0,0,0,0,0,0,0
41,43,0,0,0,40,0,0,60,66,26,66,75,136,107,0,0,24,0,0,88,188,0,48,0,0,0,0,0,90,204,49,27,66,17,31,67,153,226,90,97,132,45,0,91,201,79,36,51,23,17,37,47,29,0,0,0,0,0,0,0,0,0,0
39,39,0,0,0,23,0,0,62,61,28,57,66,117,100,0,0,24,0,22,85,191,0,46,0,0,0,0,0,82,204,44,24,61,0,25,69,160,230,89,99,136,53,0,90,203,83,26,47,23,16,33,45,29,16,0,0,0,0,0,0,0,0,0
35,42,0,16,0,26,0,0,53,71,28,57,65,120,108,0,0,24,0,20,85,184,0,49,0,0,0,0,0,91,199,34,26,61,0,26,71,158,224,90,88,132,51,0,86,205,84,33,57,20,16,33,42,31,0,0,0,0,0,0,0,0,0,0
39,41,0,17,0,19,0,0,60,69,30,65,64,116,111,0,0,18,0,0,82,193,0,50,0,0,0,0,0,99,207,38,27,66,17,22,63,160,235,90,89,129,56,0,91,205,87,22,56,19,17,34,47,42,17,0,0,0,0,0,0,0,0,0
32,36,0,21,0,26,0,0,62,68,28,61,64,109,109,0,0,21,0,18,93,187,0,49,0,0,0,0,0,96,197,45,26,67,18,26,65,159,234,93,101,136,50,0,93,202,87,31,54,21,0,36,37,34,0,0,0,0,0,0,0,0,0,0
32,36,0,20,0,26,0,0,56,68,29,56,72,123,98,0,0,18,0,20,87,195,0,46,0,0,0,0,0,92,194,45,25,62,0,29,68,159,234,91,97,130,53,0,92,207,81,25,55,25,0,39,41,27,19,0,0,0,0,0,0,0,0,0
40,40,0,17,0,24,0,0,56,70,27,62,69,114,109,0,0,20,0,21,89,183,0,38,0,0,0,0,0,97,189,46,29,62,0,29,69,152,236,83,92,132,51,0,95,201,84,29,51,26,0,26,41,36,20,0,0,0,0,0,0,0,0,0
33,41,0,18,0,16,0,0,51,71,28,56,69,125,106,0,0,17,0,17,88,194,0,50,0,0,0,0,0,93,196,48,29,54,0,29,70,158,228,86,102,136,51,0,105,201,79,27,52,26,0,33,46,37,19,0,0,0,0,0,0,0,0,0
39,41,0,0,0,24,0,0,58,74,29,59,76,121,100,0,0,22,0,24,91,193,0,48,0,0,0,0,0,84,190,53,25,63,17,31,68,163,238,92,101,137,52,0,98,199,85,33,53,23,0,34,39,40,19,0,0,0,0,0,0,0,0,0
39,45,0,0,0,29,0,0,63,74,22,52,76,124,102,0,0,20,0,0,90,183,0,45,0,0,0,0,0,89,191,45,27,63,18,26,71,162,234,85,96,141,52,0,90,196,86,32,56,30,16,35,41,42,19,0,0,0,0,0,0,0,0,0
34,44,0,18,0,24,0,0,55,69,22,59,70,125,113,0,0,19,0,21,78,195,0,46,0,0,0,0,0,94,198,51,18,59,0,26,67,160,236,86,97,133,46,0,96,207,82,32,52,31,0,36,44,35,0,0,0,0,0,0,0,0,0,0
30,35,0,19,0,26,0,0,60,70,31,61,67,122,101,0,0,27,0,19,92,195,0,52,0,0,0,0,0,88,201,52,22,56,0,29,69,162,235,84,99,132,52,0,95,198,86,34,57,26,0,36,38,37,20,0,0,0,0,0,0,0,0,0
33,53,0,0,0,18,0,0,63,75,26,61,74,125,112,0,0,27,0,17,90,185,0,47,0,0,0,0,0,98,194,50,22,60,0,32,65,154,233,90,101,141,56,0,96,201,78,34,59,31,0,40,43,38,20,0,0,0,0,0,0,0,0,0
37,40,16,24,0,22,0,0,62,56,31,61,81,128,113,0,0,20,0,25,92,197,0,40,0,0,0,0,0,85,189,39,20,55,0,33,76,167,219,79,94,133,55,0,101,201,86,27,50,27,16,40,53,34,17,0,0,0,0,0,0,0,0,0
34,35,17,18,0,24,0,0,56,62,31,64,67,129,114,0,0,26,0,20,91,199,0,40,0,0,0,0,0,91,189,41,20,49,0,26,71,164,223,78,98,136,52,0,92,206,81,32,48,21,0,40,48,41,18,0,0,0,0,0,0,0,0,0
34,31,0,21,0,20,0,0,59,63,22,58,75,123,114,0,0,20,0,0,92,198,0,38,0,0,0,0,0,100,201,46,18,59,0,30,78,159,221,84,97,134,44,0,104,206,82,20,56,22,0,40,49,36,0,0,0,0,0,0,0,0,0,0
33,38,0,19,0,28,0,0,57,60,29,55,71,123,113,0,0,19,0,21,94,219,21,44,0,0,0,0,0,101,190,39,0,59,0,30,72,154,215,71,89,134,54,0,105,207,72,23,51,23,18,34,53,41,18,0,0,0,0,0,0,0,0,0
34,43,19,19,0,22,0,0,60,57,27,64,73,112,115,0,0,27,0,21,92,195,0,39,0,0,0,0,0,87,177,28,0,56,17,29,79,169,196,71,97,131,57,0,102,209,77,25,48,30,0,38,51,38,18,0,0,0,0,0,0,0,0,0
41,45,0,25,0,26,0,0,61,65,24,62,64,117,117,0,0,27,0,0,95,196,0,38,0,0,0,0,0,85,200,37,23,68,17,31,77,167,221,87,102,135,48,0,91,203,92,32,53,31,0,34,49,38,18,0,0,0,0,0,0,0,0,0
36,45,16,19,0,28,0,0,63,72,33,55,73,115,112,0,0,20,0,26,92,196,0,41,0,0,0,0,0,95,195,38,26,66,19,30,78,168,228,77,96,131,57,0,94,204,84,30,51,23,0,40,38,37,18,0,0,0,0,0,0,0,0,0
38,46,18,23,0,24,0,0,63,60,31,56,68,120,110,0,0,26,0,21,83,191,0,44,0,0,0,0,0,94,197,46,19,63,18,28,67,161,232,92,98,130,43,0,98,202,88,30,57,29,0,39,47,40,19,0,0,0,0,0,0,0,0,0
31,42,0,0,0,30,0,0,62,61,22,55,75,121,113,0,0,31,0,21,90,196,0,35,0,0,0,0,0,97,191,50,28,59,16,26,77,169,221,82,93,133,53,0,100,209,88,28,57,26,0,37,42,33,0,0,0,0,0,0,0,0,0,0
36,44,0,17,0,29,0,0,62,66,30,61,75,127,119,0,0,30,17,26,91,194,0,45,0,0,0,0,0,93,195,54,26,61,0,26,73,167,232,86,95,131,55,0,98,205,90,33,57,29,0,37,47,40,21,0,0,0,0,0,0,0,0,0
39,42,19,0,0,26,0,0,67,69,31,57,76,121,108,0,0,25,29,22,93,205,0,44,0,0,0,0,0,89,198,50,19,64,19,30,73,166,228,87,101,139,56,0,91,207,92,33,57,21,18,38,48,34,0,0,0,0,0,0,0,0,0,0
39,46,20,0,0,26,0,0,67,71,25,58,76,115,101,0,0,23,17,22,92,201,0,48,0,0,0,0,0,78,197,46,30,61,18,33,66,169,237,87,101,140,57,0,91,197,85,31,57,29,19,34,45,30,0,0,0,0,0,0,0,0,0,0
28,39,0,19,0,19,0,0,56,67,33,47,68,125,104,0,0,26,0,20,87,200,0,41,0,0,0,0,0,90,196,40,24,65,17,31,70,167,235,84,101,136,56,0,96,209,84,31,57,29,0,38,43,35,0,0,0,0,0,0,0,0,0,0
36,47,19,0,0,20,0,0,58,66,36,60,63,121,118,0,0,27,0,20,93,200,0,44,0,0,0,0,0,88,197,46,29,56,19,25,66,165,236,87,98,130,54,0,97,203,83,33,62,31,17,33,41,30,0,0,0,0,0,0,0,0,0,0
37,42,0,22,0,25,0,0,57,67,29,61,74,124,115,0,0,26,0,19,86,207,0,46,0,0,0,0,0,93,209,47,24,62,19,36,67,163,236,84,98,137,54,0,95,203,84,29,56,26,0,35,50,37,18,0,0,0,0,0,0,0,0,0
32,36,17,0,0,25,0,0,65,72,30,54,74,125,106,0,0,24,0,21,91,198,0,36,0,0,0,0,0,81,194,52,30,64,0,31,70,164,235,85,96,132,54,0,97,203,85,36,54,29,0,35,49,38,0,0,0,0,0,0,0,0,0,0
39,45,0,20,0,24,0,0,65,70,30,66,64,128,113,0,0,21,0,18,96,199,0,38,0,0,0,0,0,90,197,47,22,64,18,33,69,174,233,95,96,138,58,0,97,198,74,31,55,23,0,28,47,36,0,0,0,0,0,0,0,0,0,0
31,50,0,16,0,26,0,0,65,65,34,58,69,126,112,0,0,26,0,24,91,208,0,49,0,0,0,0,0,99,196,51,29,63,19,37,72,159,234,90,101,139,49,0,95,201,84,34,55,32,0,30,45,33,21,0,0,0,0,0,0,0,0,0
38,44,0,21,0,21,0,0,64,69,24,48,78,121,117,0,0,28,18,29,93,208,0,43,0,0,0,0,0,88,198,46,22,63,19,36,74,161,235,90,93,137,50,0,88,202,83,31,57,27,17,37,37,33,17,0,0,0,0,0,0,0,0,0
37,43,0,21,0,29,0,0,57,69,32,56,73,125,111,0,0,25,0,18,94,209,0,42,0,0,0,0,0,88,198,50,23,60,0,31,74,167,228,86,96,135,52,0,97,193,87,30,63,29,0,33,45,36,19,0,0,0,0,0,0,0,0,0
37,47,0,16,0,25,0,0,53,68,29,52,73,125,108,0,0,24,18,21,82,210,0,44,0,0,0,0,0,88,199,46,27,65,19,30,75,161,234,89,106,132,56,0,98,199,79,28,63,29,0,39,47,33,16,0,0,0,0,0,0,0,0,0
34,44,0,16,0,28,0,0,61,70,34,65,73,121,115,0,0,23,0,27,93,205,0,46,0,0,0,0,0,90,195,48,24,64,0,33,74,157,236,81,102,140,49,0,98,200,88,27,61,31,0,36,45,35,0,0,0,0,0,0,0,0,0,0
32,48,0,17,0,21,0,0,64,75,35,67,67,128,115,0,0,29,0,24,94,207,0,44,0,0,0,0,0,85,201,51,25,63,0,26,75,167,234,88,98,139,58,0,97,196,78,32,64,30,20,29,45,33,17,0,0,0,0,0,0,0,0,0
38,43,0,18,0,19,0,0,55,76,27,72,79,123,115,0,0,29,0,20,105,217,0,45,0,0,0,0,0,91,191,48,22,62,19,29,75,165,233,85,97,131,49,0,92,200,83,31,59,25,0,32,45,33,20,0,0,0,0,0,0,0,0,0
30,41,0,0,0,29,0,0,57,70,28,65,79,120,115,0,0,28,0,30,92,211,0,45,0,0,0,0,0,94,198,52,29,60,28,32,76,169,234,91,101,134,57,0,100,201,86,31,64,34,18,37,48,35,19,0,0,0,0,0,0,0,0,0
34,40,0,21,0,19,0,0,58,62,32,72,69,126,119,0,0,24,0,26,91,205,0,46,0,0,0,0,0,91,184,51,28,59,16,27,76,163,227,80,104,142,56,0,94,203,79,36,61,32,17,38,47,35,18,0,0,0,0,0,0,0,0,0
34,42,0,0,0,32,0,0,56,72,27,73,77,130,121,0,0,26,0,27,93,212,0,48,0,0,0,0,0,90,197,52,31,64,20,25,75,163,236,89,96,135,54,0,92,199,92,28,62,31,0,33,47,33,19,0,0,0,0,0,0,0,0,0
