FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,0,54,24,39,40,88,16,35,0,0,0,0,0,115,175,179,0,0,0,0,0,187,289,325,0,0,0,0,44,314,291,185,0,0,0,0,0,125,103,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,23,24,0,0,0,64,0,42,51,101,22,39,0,0,0,0,0,110,181,169,0,0,0,0,0,194,290,329,0,0,0,0,40,328,293,186,0,0,0,0,0,127,102,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,24,22,23,0,0,68,21,45,48,104,21,35,0,0,0,0,0,112,181,172,0,0,0,0,0,195,298,324,0,0,0,0,34,314,290,184,0,0,0,0,17,128,103,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,21,26,21,0,0,66,19,36,48,103,21,40,0,0,0,0,0,117,183,173,0,0,0,0,0,196,297,322,0,0,0,0,29,314,289,186,0,0,0,0,18,124,109,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,21,26,0,0,0,62,20,40,46,102,19,36,0,0,0,0,0,109,184,177,0,0,0,0,0,194,302,322,0,0,0,0,36,316,285,181,0,0,0,0,17,126,107,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,28,17,21,0,0,61,25,41,41,109,23,46,0,0,0,0,0,121,186,170,0,0,0,0,0,194,295,330,0,0,0,0,37,312,289,185,0,0,0,0,27,135,100,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,18,22,26,20,0,0,70,0,44,50,107,0,35,0,0,0,0,0,117,185,176,0,0,0,0,17,198,293,329,0,0,0,0,36,320,292,185,0,0,0,0,18,136,111,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,26,26,20,0,0,69,22,45,50,99,22,42,0,0,0,0,0,123,183,174,0,0,0,0,17,202,301,323,0,0,0,0,37,317,289,187,0,0,0,0,0,131,102,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,25,21,0,0,71,22,47,48,95,20,33,0,0,0,0,0,120,183,182,0,0,0,0,0,200,300,331,0,0,0,0,32,322,292,187,0,0,0,0,21,132,102,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,22,16,20,0,0,74,23,47,48,105,19,43,0,0,0,0,0,124,189,171,0,0,0,0,0,198,302,324,0,0,0,0,38,318,285,186,0,0,0,0,19,139,112,0,0,0,0,0,0,0,0,0
