FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,0,0,19,59,0,0,0,0,0,0,0,0,20,0,0,0,0,0,36,273,123,0,42,82,38,0,86,174,307,33,81,47,36,0,124,190,82,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,40,0,18,0,58,0,0,0,0,0,0,0,19,22,0,0,0,0,0,43,267,131,0,34,83,34,0,88,180,320,35,80,47,37,16,117,166,73,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,0,0,16,54,0,0,0,0,0,0,0,0,20,0,0,0,0,0,39,259,129,0,39,88,36,0,89,177,327,37,78,41,43,17,125,172,76,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,42,0,0,0,46,0,0,0,0,0,0,0,0,20,0,0,0,0,0,38,266,123,0,40,87,45,0,88,176,310,36,72,49,43,16,124,179,75,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,33,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,276,131,0,37,91,49,0,88,182,316,36,79,54,38,18,132,193,93,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,0,0,0,45,0,0,0,0,0,0,0,28,21,0,0,0,0,0,42,284,131,0,39,84,42,0,89,177,320,37,71,47,33,18,101,162,76,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,20,58,0,0,0,0,0,0,0,0,19,0,0,0,0,0,34,264,126,0,43,87,37,0,82,176,320,39,72,44,39,0,104,161,67,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,41,0,0,20,55,0,0,0,0,0,0,0,18,21,0,0,0,0,0,30,264,136,0,38,93,39,0,78,166,319,32,72,49,40,0,108,154,69,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,42,0,26,20,54,0,0,0,0,0,0,0,17,18,0,0,0,0,0,38,265,135,0,41,97,45,0,79,174,330,38,73,52,41,18,116,171,78,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,35,0,21,17,43,0,0,0,0,0,0,0,16,26,0,0,0,0,0,33,278,137,0,37,90,43,0,89,176,332,31,70,50,32,19,121,169,82,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,43,0,0,0,53,0,0,0,0,0,0,0,0,21,0,0,0,0,0,36,282,140,0,38,87,45,0,86,169,332,39,73,53,34,17,116,176,81,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,40,0,0,0,53,0,0,0,0,0,0,0,0,22,0,0,0,0,0,36,276,134,0,40,93,41,0,84,173,330,30,72,49,41,18,117,169,83,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,37,0,17,20,42,0,0,0,0,0,0,0,0,27,0,0,0,0,0,41,289,142,0,45,97,47,0,94,178,324,31,74,48,40,0,120,192,80,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,0,22,16,52,0,0,0,0,0,0,0,22,33,0,0,0,0,0,42,287,140,0,39,88,43,0,83,184,318,43,79,53,37,0,117,187,82,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,16,22,0,64,0,0,0,0,0,0,0,25,26,0,0,0,0,0,43,295,135,0,42,94,44,0,92,180,329,43,70,51,31,0,113,180,82,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,0,0,0,67,0,0,0,0,0,0,0,26,23,0,0,0,0,0,44,298,130,0,44,94,43,0,88,176,317,31,67,46,27,0,116,174,75,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,48,0,21,21,74,0,0,0,0,0,0,0,33,28,0,0,0,0,0,50,291,131,0,43,96,39,0,88,173,300,27,63,40,27,16,105,142,64,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,0,30,21,70,0,0,0,0,0,0,0,30,32,0,0,0,0,0,45,295,131,0,42,91,45,0,88,179,313,36,75,42,37,0,116,154,68,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,45,0,0,0,81,0,0,0,0,0,0,0,31,31,0,0,0,0,0,48,294,133,0,42,97,44,0,83,182,309,34,69,50,37,0,115,158,65,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,49,0,20,32,72,0,0,0,0,0,0,0,35,34,0,0,0,0,0,46,287,134,0,43,93,36,0,79,176,314,38,72,47,28,0,102,143,72,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,39,0,25,25,76,0,0,0,0,0,0,0,33,35,0,0,0,0,0,33,275,138,0,36,93,38,0,83,179,314,33,71,48,36,16,108,154,68,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,48,0,23,18,74,0,0,0,0,0,0,0,28,28,0,0,0,0,0,33,267,144,0,34,94,42,0,80,175,343,32,68,38,28,0,116,157,77,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,37,0,26,19,63,0,0,0,0,0,0,0,35,27,0,0,0,0,0,41,288,139,0,33,91,35,0,85,172,312,31,67,39,28,0,119,154,78,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,50,0,22,24,72,0,0,0,0,0,0,0,31,22,0,0,0,0,0,39,284,141,0,33,90,40,0,90,176,318,38,68,44,35,0,108,161,73,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,49,0,28,19,63,0,0,0,0,0,0,0,21,35,0,0,0,0,0,37,274,131,0,39,93,37,0,83,176,320,35,69,42,39,0,115,161,72,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,52,0,26,22,71,0,0,0,0,0,0,0,33,30,0,0,0,0,0,41,273,142,0,37,95,37,0,77,178,311,32,65,41,36,0,114,157,74,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,54,0,23,21,61,0,0,0,0,0,0,0,32,24,0,0,0,0,0,42,278,141,0,28,96,43,0,86,177,321,30,65,41,36,0,119,166,73,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,50,0,0,27,70,0,0,0,0,0,0,0,30,44,0,0,0,0,0,47,271,134,0,36,96,44,0,88,170,322,39,63,36,36,17,117,159,76,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52,0,21,25,67,0,0,0,0,0,0,0,28,34,0,0,0,0,0,46,258,139,0,29,93,37,0,89,178,329,28,68,45,34,29,119,154,72,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,36,48,0,26,24,68,0,0,0,0,0,0,0,23,24,0,0,0,0,0,44,261,138,0,37,88,46,0,77,179,325,37,73,42,39,17,118,147,70,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,56,0,26,20,68,0,0,0,0,0,0,0,24,34,0,0,0,0,0,34,262,143,0,43,98,47,0,90,175,320,28,74,47,35,21,122,165,77,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,49,0,24,23,64,0,0,0,0,0,0,0,26,30,0,0,0,0,0,43,266,144,0,41,95,45,0,87,176,327,41,73,47,30,0,116,157,82,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,61,0,0,17,47,0,0,0,0,0,0,0,18,29,0,0,0,0,0,48,275,138,0,34,96,46,0,90,177,338,38,66,37,27,0,113,174,80,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,61,0,21,0,63,0,0,0,0,0,0,0,27,29,0,0,0,0,0,40,267,148,0,38,94,45,0,89,180,327,43,66,48,34,16,112,157,73,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,54,0,24,23,57,0,0,0,0,0,0,0,25,32,0,0,0,0,0,42,282,136,0,40,93,40,0,91,179,329,33,60,45,30,0,119,165,80,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,56,0,19,0,62,0,0,0,0,0,0,0,23,34,0,0,0,0,0,42,282,146,0,41,96,39,0,90,182,328,38,62,48,32,0,122,168,71,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,61,0,0,21,71,0,0,0,0,0,0,0,28,31,0,0,0,0,0,45,278,142,0,43,97,42,0,91,179,330,41,70,45,26,17,119,164,70,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,0,24,21,56,0,0,0,0,0,0,0,16,34,0,0,0,0,0,43,273,147,0,40,100,41,0,94,177,330,44,68,45,32,18,120,161,72,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,63,0,21,19,61,0,0,0,0,0,0,0,18,34,0,0,0,0,0,42,285,142,0,42,101,43,0,86,177,319,40,73,46,35,18,119,155,74,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,48,66,0,25,17,54,0,0,0,0,0,0,0,27,33,0,0,0,0,0,39,278,146,0,40,99,44,0,89,174,326,45,77,50,36,0,115,158,73,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,55,0,22,0,61,0,0,0,0,0,0,0,26,35,0,0,0,0,0,36,280,149,0,34,98,46,0,87,177,328,44,77,46,36,0,119,164,78,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,54,0,25,16,67,0,0,0,0,0,0,0,18,32,0,0,0,0,0,45,272,137,0,41,102,37,0,91,182,319,46,75,48,37,0,122,167,72,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,53,0,23,24,58,0,0,0,0,0,0,0,24,23,0,0,0,0,0,43,273,149,0,41,93,42,0,81,172,323,44,76,47,37,18,121,165,73,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,62,0,23,21,60,0,0,0,0,0,0,0,25,34,0,0,0,0,0,43,268,141,0,42,98,47,0,87,176,325,40,72,46,27,0,115,154,73,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,63,0,17,21,54,0,0,0,0,0,0,0,21,36,0,0,0,0,0,43,280,146,0,40,91,44,0,86,179,332,33,75,47,32,0,113,170,85,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,59,0,25,25,62,0,0,0,0,0,0,0,17,39,0,0,0,0,0,41,283,144,24,43,99,38,0,90,184,323,34,72,41,31,17,124,166,83,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,63,0,16,0,64,0,0,0,0,0,0,0,30,27,0,0,0,0,0,44,294,148,0,40,95,34,0,92,174,324,37,67,42,29,0,117,171,82,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,63,0,24,19,59,0,0,0,0,0,0,0,24,32,0,0,0,0,0,43,293,137,0,37,101,40,0,89,181,326,48,65,46,33,0,118,171,72,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,57,0,26,20,67,0,0,0,0,0,0,0,24,35,0,0,0,0,0,35,282,138,0,43,100,32,0,87,171,323,49,65,37,29,0,118,164,78,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,63,0,23,27,57,0,0,0,0,0,0,0,28,34,0,0,0,0,0,35,284,148,0,43,88,41,0,94,177,328,42,69,46,35,0,114,165,79,0,0,0,0,0,0,0,0,0
