FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
63,60,19,0,0,0,0,0,19,128,79,161,114,0,0,0,0,36,97,151,193,67,0,0,0,0,0,100,183,147,0,0,0,0,0,68,164,153,0,0,0,0,76,0,223,105,0,0,21,87,76,88,189,25,0,0,20,0,33,21,0,0,0,0
58,61,0,0,0,0,0,0,24,124,74,168,120,0,0,0,0,37,100,159,197,66,0,0,0,0,0,91,198,150,0,0,0,0,0,69,163,148,0,0,0,0,74,0,205,95,0,0,0,83,75,78,166,0,0,0,16,0,20,0,0,0,0,0
53,58,19,0,0,0,0,0,25,132,76,177,126,0,0,0,0,36,102,156,201,62,0,0,0,0,0,86,183,148,0,0,0,0,0,75,165,148,0,0,0,0,80,0,218,99,0,0,16,84,81,83,186,17,0,0,20,0,23,0,0,0,0,0
57,59,17,0,0,0,0,0,25,133,81,167,118,0,0,0,0,35,104,157,191,67,0,0,0,0,0,86,180,147,0,0,0,0,0,66,143,145,0,0,0,0,78,0,201,100,0,0,20,89,86,92,178,0,0,0,22,0,25,16,0,0,0,0
53,67,0,0,0,0,0,0,24,131,83,183,110,0,0,0,0,44,100,158,201,71,0,0,0,0,0,88,192,148,16,0,0,0,0,71,140,141,0,0,0,0,79,0,213,97,0,0,22,82,79,85,194,0,0,0,18,0,30,17,0,0,0,0
51,67,0,0,0,0,0,0,24,135,85,171,124,0,0,0,0,46,97,161,195,71,0,0,0,0,0,86,186,148,0,0,0,0,0,68,145,134,0,0,0,0,76,0,200,92,0,0,21,85,91,80,182,0,0,0,0,0,25,20,0,0,0,0
64,70,21,0,0,0,0,0,31,134,80,177,127,0,0,0,0,41,101,173,205,75,0,0,0,0,0,81,196,140,0,0,0,0,0,50,136,147,0,0,0,0,71,0,184,94,0,0,18,84,80,77,156,0,0,0,19,0,21,0,0,0,0,0
65,65,0,0,0,0,0,0,22,139,88,191,125,0,0,0,0,49,109,172,207,74,0,0,0,0,0,72,187,149,0,0,0,0,0,40,129,142,0,0,0,0,80,0,187,98,0,0,20,88,86,92,186,0,0,0,26,19,25,23,0,0,0,0
58,74,0,0,0,0,0,0,32,124,73,173,109,0,0,0,0,43,96,158,203,76,0,0,0,0,0,82,186,139,0,0,0,0,0,55,160,147,0,0,0,0,86,0,210,105,0,0,20,94,88,92,198,21,0,0,22,0,28,23,0,0,0,0
62,62,0,0,0,0,0,0,29,122,82,177,108,0,0,0,0,42,100,154,203,79,0,0,0,0,0,82,187,153,0,0,0,0,0,54,160,145,0,0,0,0,86,0,218,106,0,0,20,85,85,82,197,21,0,0,0,0,30,18,0,0,0,0
