FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,49,31,0,0,0,0,0,0,166,261,0,0,0,0,0,0,236,303,0,0,0,0,0,0,34,70,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,55,51,33,0,0,0,0,0,0,175,258,0,0,0,0,0,0,274,309,0,0,0,0,0,0,31,70,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,55,51,34,0,0,0,0,0,0,173,270,18,0,0,0,0,0,261,321,0,0,0,0,0,0,28,65,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,61,60,41,0,0,0,0,0,0,168,272,0,0,0,0,0,0,261,324,0,0,0,0,0,0,32,62,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,60,60,42,0,0,0,0,0,0,171,265,0,0,0,0,0,0,254,312,0,0,0,0,0,0,36,64,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,19,0,0,17,0,0,0,0,0,0,0,51,63,42,0,0,0,0,0,0,164,273,0,0,0,0,0,0,260,308,0,0,0,0,0,0,32,68,0,0,46,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,61,68,45,0,0,0,0,0,0,165,276,0,0,0,0,0,0,256,310,0,0,0,0,0,0,38,70,0,0,48,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,58,69,38,0,0,0,0,0,0,173,265,0,0,0,0,0,0,259,313,0,0,0,0,0,0,35,68,0,0,48,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,24,0,0,18,0,0,0,0,0,0,0,52,67,29,0,0,0,0,0,0,164,270,0,0,0,0,0,0,252,315,0,0,0,0,0,0,42,62,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,50,68,39,0,0,0,0,0,0,173,269,0,0,0,0,0,0,264,309,0,0,0,0,0,0,38,73,16,0,46,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,29,21,0,16,0,0,0,0,0,0,0,53,67,36,0,0,0,0,0,0,156,274,0,0,0,0,0,0,255,306,0,0,0,0,0,0,31,73,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,18,0,0,16,0,0,0,0,0,0,0,59,56,30,0,0,0,0,0,0,170,271,0,0,0,0,0,0,265,307,0,0,0,0,0,0,40,72,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,33,0,0,19,0,0,0,0,0,0,0,57,65,44,0,0,0,0,0,0,173,261,0,0,0,0,0,0,263,307,0,0,0,0,0,0,40,67,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,55,62,33,0,0,0,0,0,0,170,273,0,0,0,0,0,0,260,311,0,0,0,0,0,0,26,66,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,60,68,43,0,0,0,0,0,0,174,269,0,0,0,0,0,0,256,311,0,0,0,0,0,0,41,66,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,53,58,43,0,0,0,0,0,0,168,263,0,0,0,0,0,0,255,305,0,0,0,0,0,0,33,75,0,0,50,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,33,0,0,17,0,0,0,0,0,0,0,57,63,38,0,0,0,0,0,0,181,272,0,0,0,0,0,0,255,323,0,0,0,0,0,0,34,74,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,49,63,44,0,0,0,0,0,0,173,270,0,0,0,0,0,0,254,322,0,0,0,0,0,0,27,73,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,24,0,0,16,0,0,0,0,0,0,0,59,63,44,0,0,0,0,0,0,174,275,0,0,0,0,0,0,252,321,0,0,0,0,0,0,30,71,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,51,59,35,0,0,0,0,0,0,181,273,0,0,0,0,0,0,252,315,0,0,0,0,0,0,30,70,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,51,68,38,0,0,0,0,0,0,172,275,0,0,0,0,0,0,263,325,0,0,0,0,0,0,30,71,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,54,52,36,0,0,0,0,0,0,167,268,0,0,0,0,0,0,249,315,0,0,0,0,0,0,31,70,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,29,0,0,17,0,0,0,0,0,0,0,53,61,33,0,0,0,0,0,0,170,266,0,0,0,0,0,0,264,322,0,0,0,0,0,0,30,69,0,0,44,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,51,62,42,0,0,0,0,0,0,179,270,0,0,0,0,0,0,267,304,0,0,0,0,0,0,32,68,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,26,0,0,18,0,0,0,0,0,0,0,52,60,36,0,0,0,0,0,0,185,257,0,0,0,0,0,0,270,309,0,0,0,0,0,0,37,77,0,0,51,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,63,70,39,0,0,0,0,0,0,180,262,17,0,0,0,0,0,270,295,0,0,0,0,0,0,25,87,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,59,67,36,0,0,0,0,0,0,189,270,0,0,0,0,0,0,264,303,0,0,0,0,0,0,36,65,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,63,67,32,0,0,0,0,0,0,187,269,0,0,0,0,0,0,267,297,0,0,0,0,0,0,22,74,0,0,42,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,61,69,42,0,0,0,0,0,0,183,268,0,0,0,0,0,0,264,299,0,0,0,0,0,0,25,74,0,0,50,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,33,0,0,20,0,0,0,0,0,0,0,56,55,40,0,0,0,0,0,0,188,268,0,0,0,0,0,0,264,297,0,0,0,0,0,0,33,71,0,0,49,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,31,0,0,17,0,0,0,0,0,0,0,58,64,42,0,0,0,0,0,0,186,265,0,0,0,0,0,17,259,293,0,0,0,0,0,0,33,69,0,0,41,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,56,56,37,0,0,0,0,0,0,190,266,0,0,0,0,0,0,264,314,0,0,0,0,0,0,35,75,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,55,60,37,0,0,0,0,0,0,181,269,0,0,0,0,0,0,250,312,0,0,0,0,0,0,35,70,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,39,48,38,0,0,0,0,0,0,169,258,0,0,0,0,0,0,265,314,0,0,0,0,0,0,38,74,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,27,0,0,18,0,0,0,0,0,0,0,45,47,30,0,0,0,0,0,0,165,257,0,0,0,0,0,0,268,304,0,0,0,0,0,0,28,65,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,48,38,0,0,0,0,0,0,176,266,0,0,0,0,0,0,269,291,0,0,0,0,0,0,28,74,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
