FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,115,155,51,29,0,0,0,20,68,78,27,27,0,0,0,0,49,39,20,17,0,0,0,33,270,72,54,37,31,0,0,0,18,37,35,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,107,153,56,41,0,0,0,16,71,75,32,23,0,0,0,0,55,41,23,0,0,0,0,26,279,73,52,30,30,0,0,0,16,31,36,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,115,150,56,39,0,0,0,0,58,77,27,23,0,0,0,0,46,48,24,17,0,0,0,31,277,74,58,32,27,0,0,0,0,30,38,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,24,19,0,0,0,0,0,104,149,55,27,0,0,0,0,70,76,32,22,0,0,0,0,51,39,25,16,0,0,0,29,273,67,59,32,29,0,0,0,0,37,39,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,23,17,0,0,0,0,16,113,154,57,42,0,0,0,0,68,75,30,0,0,0,0,0,54,49,23,17,0,0,0,34,271,72,54,36,29,0,0,0,17,35,39,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,109,153,57,36,0,0,0,20,63,73,33,21,0,0,0,0,54,49,26,0,0,0,0,24,277,71,58,29,22,0,0,0,0,31,32,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,26,16,0,0,0,0,16,112,155,45,39,0,0,0,0,60,74,35,21,0,0,0,0,56,48,27,0,0,0,0,34,273,73,54,35,29,0,0,0,0,36,33,0,0,20,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,26,16,0,0,0,0,0,117,157,59,31,0,0,0,16,65,77,32,25,0,0,0,0,60,44,22,0,0,0,0,25,274,77,57,36,30,0,0,0,0,36,37,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,116,153,57,37,0,0,0,16,59,75,30,18,0,0,0,0,56,49,25,0,0,0,0,21,274,78,51,28,27,0,0,0,0,33,36,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,18,25,0,0,0,0,16,114,156,51,41,0,0,0,22,67,77,30,27,0,16,0,0,48,38,26,0,0,0,0,32,271,76,48,36,25,0,0,0,0,35,37,17,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,28,20,0,0,0,0,16,104,154,47,40,0,0,0,17,72,74,30,22,0,16,0,0,55,55,27,0,0,0,0,35,276,77,58,33,22,18,0,0,0,36,40,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,27,20,0,0,0,0,0,113,156,48,30,0,0,0,18,73,72,35,19,0,0,0,0,56,48,27,0,0,0,0,27,276,70,59,33,30,0,0,0,0,28,40,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,0,0,0,116,150,53,38,0,0,0,20,72,73,32,24,0,0,0,0,57,47,17,0,0,0,0,32,271,75,57,26,28,0,0,0,18,32,41,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,23,16,0,0,0,0,16,115,156,55,39,0,0,0,22,66,77,34,27,0,0,0,0,48,50,17,0,0,0,0,34,274,74,59,39,31,19,0,0,18,28,30,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,28,16,0,0,0,0,0,120,153,58,34,0,0,0,21,65,77,36,21,0,0,0,0,57,39,22,0,0,0,0,34,276,78,51,39,28,0,0,0,0,25,42,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,118,153,52,39,0,0,0,16,73,77,31,24,0,0,0,0,61,50,26,17,0,0,0,35,271,74,59,31,20,0,0,0,16,28,40,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,113,156,54,34,0,0,0,0,73,76,27,29,0,0,0,0,49,44,23,17,0,0,0,33,276,75,48,33,27,0,0,0,0,32,34,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,124,148,51,36,0,0,0,18,63,79,28,26,0,0,0,0,53,48,27,0,0,0,0,29,274,66,56,34,31,0,0,0,17,33,38,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,18,24,0,0,0,0,16,117,155,55,38,0,0,0,0,67,70,25,25,0,0,0,0,53,40,16,16,0,0,0,27,278,75,61,31,0,0,0,0,0,31,39,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,27,20,0,0,0,0,17,114,160,47,38,0,0,0,21,73,83,29,21,0,0,0,0,48,42,22,0,0,0,0,31,278,76,54,32,20,0,0,0,0,32,39,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,118,152,55,41,0,0,0,22,68,82,33,17,0,0,0,0,62,45,25,0,0,0,0,32,266,74,54,24,25,0,0,0,18,38,41,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,19,16,0,0,0,0,0,108,156,58,26,0,0,0,19,72,85,27,24,0,0,0,0,56,45,22,0,0,0,0,32,282,79,56,32,30,0,0,0,0,37,33,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,23,18,0,0,0,0,0,115,152,57,36,0,0,0,21,69,81,33,0,0,0,0,0,49,45,0,0,0,0,0,35,273,78,54,31,29,0,0,0,0,38,40,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,120,154,44,36,0,0,0,17,65,82,27,23,0,0,0,0,52,46,20,16,0,0,0,33,276,76,59,29,26,0,0,0,0,37,40,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,24,18,0,0,0,0,0,115,154,53,39,0,0,0,0,69,73,29,18,0,0,0,0,46,49,25,23,0,0,0,31,274,75,56,34,24,0,0,0,0,39,37,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,24,16,0,0,0,0,0,121,155,52,38,0,0,0,22,62,79,31,24,0,0,0,0,52,49,24,18,0,0,0,25,275,74,56,34,28,0,0,0,16,34,43,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,18,16,0,0,0,0,0,123,152,52,38,0,0,0,0,73,79,27,21,0,0,0,0,65,55,18,0,0,0,0,32,267,62,61,36,23,20,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,21,18,0,0,0,0,0,111,151,54,32,0,0,0,0,73,78,28,22,0,0,0,0,50,50,18,17,0,0,0,29,274,70,57,30,17,0,0,0,0,38,41,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,117,150,58,32,0,0,0,19,72,78,30,24,0,0,0,0,45,50,17,0,0,0,0,30,275,75,60,34,29,0,0,0,0,30,42,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,118,157,57,35,0,0,0,16,65,70,26,23,0,0,0,0,51,45,17,0,0,0,0,35,270,74,60,30,17,0,0,0,0,37,42,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,17,122,155,59,37,0,0,0,0,67,74,34,24,0,0,0,0,50,54,27,0,0,0,0,36,273,69,52,32,26,0,0,0,0,33,38,0,0,17,0,0,0,0,0,0,0,0
