FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0,0,0,0,0,0,0,0,0,0,76,81,0,0,0,0,0,67,177,91,57,0,0,0,0,0,70,51,0,0,0,0,0,0,71,80,35,0,0,0,0,0,0,61,59,24,0,0,0,0,0,69,19,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,93,98,19,0,0,0,0,74,179,91,61,0,0,0,0,0,67,50,0,0,0,0,0,0,90,80,33,0,0,0,0,0,0,66,65,31,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,101,93,27,0,0,0,0,70,183,95,53,0,0,0,0,0,65,53,0,0,0,0,0,0,81,89,40,0,0,0,0,0,0,77,60,27,0,0,0,0,0,64,18,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,95,97,29,16,0,0,0,68,182,98,66,0,0,0,0,0,70,57,0,0,0,0,0,0,81,77,36,0,0,0,0,0,0,76,62,25,0,0,0,0,0,77,18,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,93,99,30,16,0,0,0,72,190,89,63,0,0,0,0,0,68,53,0,0,0,0,0,0,92,88,29,0,0,0,0,0,0,70,62,17,0,0,0,0,0,68,20,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,98,101,33,0,0,0,0,81,188,96,66,0,0,0,0,0,70,50,0,0,0,0,0,0,87,86,39,0,0,0,0,0,0,69,63,17,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,105,101,34,0,0,0,0,76,189,98,55,0,0,0,0,0,68,52,0,0,0,0,0,0,90,83,36,0,0,0,0,0,0,80,67,23,0,0,0,0,0,65,16,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,100,94,33,0,0,0,0,72,189,100,58,0,0,0,0,0,62,55,0,0,0,0,0,0,94,90,28,0,0,0,0,0,0,86,64,28,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,107,94,29,0,0,0,0,80,184,95,64,0,0,0,0,0,75,47,0,0,0,0,0,0,91,82,41,0,0,0,0,0,0,79,71,21,0,0,0,0,0,67,25,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,92,104,37,0,0,0,0,61,178,103,68,0,0,0,0,0,72,39,0,0,0,0,0,16,94,88,31,0,0,0,0,0,0,69,54,20,0,0,0,0,0,55,18,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,55,75,20,0,0,0,0,69,192,88,58,0,0,0,0,0,68,43,0,0,0,0,0,17,88,89,27,0,0,0,0,0,17,86,52,25,0,0,0,0,0,76,21,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,74,82,24,0,0,0,0,55,197,84,58,0,0,0,0,0,69,40,0,0,0,0,0,0,92,73,41,0,0,0,0,0,0,68,46,23,16,0,0,0,0,66,18,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,82,79,24,20,0,0,0,62,185,92,57,0,0,0,0,0,67,52,0,0,0,0,0,0,93,64,32,0,0,0,0,0,0,76,45,20,0,0,0,0,0,72,19,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,87,91,32,0,0,0,0,53,195,91,59,0,0,0,0,0,70,47,0,0,0,0,0,0,90,69,36,0,0,0,0,0,0,78,57,26,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,84,89,24,0,0,0,0,61,196,77,59,0,0,0,0,0,68,51,0,0,0,0,0,0,91,73,29,0,0,0,0,0,21,80,47,22,0,0,0,0,0,65,16,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,80,88,27,0,0,0,0,62,192,105,50,0,0,0,0,0,76,48,0,0,0,0,0,0,100,74,41,0,0,0,0,0,0,81,47,22,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,89,86,32,19,0,0,0,67,200,88,49,0,0,0,0,0,72,52,0,0,0,0,0,0,103,80,35,0,0,0,0,0,0,78,57,28,0,0,0,0,0,74,18,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,91,87,31,16,0,0,0,67,198,88,58,0,0,0,0,0,75,44,0,0,0,0,0,0,100,76,41,0,0,0,0,0,20,80,59,22,0,0,0,0,0,76,20,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,90,82,29,16,0,0,0,64,195,81,57,0,0,0,0,0,81,53,0,0,0,0,0,16,103,73,31,0,0,0,0,0,16,86,58,23,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,94,88,18,0,0,0,0,65,201,89,50,0,0,0,0,0,66,50,0,0,0,0,0,18,102,82,38,0,0,0,0,0,25,87,56,27,0,0,0,0,0,76,21,0,0,0,0,0,0,0,0,0,0
