FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
0,0,0,0,0,0,0,0,0,0,0,40,55,32,59,33,0,0,45,99,58,54,0,0,0,26,71,73,30,0,0,0,0,0,19,78,0,0,0,0,0,0,73,0,45,0,0,0,0,0,47,25,89,46,27,0,0,0,0,54,32,73,123,63
0,0,0,0,0,0,0,0,0,0,0,53,44,51,60,30,0,0,54,100,60,53,0,0,0,24,82,72,27,0,0,0,0,0,24,85,0,0,0,0,0,18,80,0,37,0,0,0,0,0,53,35,81,40,26,0,0,0,16,66,44,85,125,57
0,0,0,0,0,0,0,0,0,0,0,52,51,47,65,36,0,0,42,99,62,56,0,0,0,16,56,67,27,19,0,0,0,0,28,89,0,0,0,0,0,0,65,0,46,0,0,0,0,0,46,33,88,41,29,0,0,0,0,57,39,79,120,64
0,0,0,0,0,0,0,0,0,0,0,45,45,34,64,33,0,0,46,93,55,62,0,0,0,17,63,66,33,20,0,0,0,0,36,78,0,0,0,0,0,0,79,0,45,0,0,0,0,0,45,29,85,42,23,0,0,0,17,54,43,73,118,56
0,0,0,0,0,0,0,0,0,0,0,49,36,71,52,31,0,0,51,100,52,53,0,0,0,25,65,53,0,16,0,0,0,0,48,60,0,0,0,0,0,16,85,0,40,0,0,0,0,0,35,32,74,38,21,0,0,0,0,62,48,85,122,53
0,0,0,0,0,0,0,0,0,0,0,50,43,50,69,39,0,0,32,84,50,75,0,0,0,22,42,56,26,0,0,0,0,0,43,81,0,0,0,0,0,0,90,0,54,0,0,0,0,0,48,31,98,45,28,0,0,0,0,68,44,87,126,64
0,0,0,0,0,0,0,0,0,0,0,37,41,52,65,30,0,0,45,89,62,65,0,0,0,22,55,50,0,0,0,0,0,0,50,74,0,0,0,0,0,26,91,0,36,0,0,0,0,0,54,26,84,42,25,0,0,0,23,66,39,87,114,68
0,0,0,0,0,0,0,0,0,0,0,39,44,52,62,33,0,0,45,96,53,54,0,0,0,26,51,57,22,0,0,0,0,0,39,72,0,0,0,0,0,26,97,0,48,0,0,0,0,0,54,34,89,42,32,0,0,0,20,65,44,81,121,77
0,0,0,0,0,0,0,0,0,0,0,40,48,48,53,32,0,0,44,89,53,54,0,0,0,16,47,52,32,0,0,0,0,0,38,81,0,0,0,0,0,0,86,0,49,0,0,0,0,0,49,35,100,50,29,0,0,0,0,57,45,82,114,71
0,0,0,0,0,0,0,0,0,0,0,47,44,52,67,40,0,0,49,87,49,62,0,0,0,17,55,55,19,0,0,0,0,0,26,75,0,0,0,0,0,0,71,0,48,0,0,0,0,0,46,29,95,46,25,0,0,0,19,49,40,81,118,63
0,0,0,0,0,0,0,0,0,0,0,58,48,55,75,45,0,0,66,101,64,61,0,0,0,24,69,72,0,0,0,0,0,0,33,73,0,0,0,0,0,0,44,0,49,0,0,0,0,0,32,0,79,36,33,0,0,0,20,45,34,81,100,57
0,0,0,0,0,0,0,0,0,0,0,55,53,57,68,35,0,0,66,98,62,59,0,0,0,23,68,59,0,0,0,0,0,0,39,66,0,0,0,0,0,0,70,0,52,0,0,0,0,0,35,22,81,48,25,0,0,0,17,59,37,78,114,55
0,0,0,0,0,0,0,0,0,0,0,45,48,57,62,39,0,0,68,94,57,65,0,0,0,20,57,55,21,0,0,0,0,0,35,62,0,0,0,0,0,0,74,0,50,0,0,0,0,0,42,24,83,49,31,0,0,0,0,60,37,85,112,59
0,0,0,0,0,0,0,0,0,0,0,56,43,48,70,38,0,0,67,95,55,55,0,0,0,23,70,57,16,0,0,0,0,0,44,64,0,0,0,0,0,0,69,0,56,0,0,0,0,0,42,21,86,51,30,0,0,0,16,60,37,86,118,69
0,0,0,0,0,0,0,0,0,0,0,46,45,56,70,42,0,0,64,94,61,56,0,0,0,21,66,61,23,0,0,0,0,0,27,67,0,0,0,0,0,0,73,0,55,0,0,0,0,0,47,25,88,40,29,0,0,0,16,60,39,90,119,65
