FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,FSR11,FSR12,FSR13,FSR14,FSR15,FSR16,FSR17,FSR18,FSR19,FSR20,FSR21,FSR22,FSR23,FSR24,FSR25,FSR26,FSR27,FSR28,FSR29,FSR30,FSR31,FSR32,FSR33,FSR34,FSR35,FSR36,FSR37,FSR38,FSR39,FSR40,FSR41,FSR42,FSR43,FSR44,FSR45,FSR46,FSR47,FSR48,FSR49,FSR50,FSR51,FSR52,FSR53,FSR54,FSR55,FSR56,FSR57,FSR58,FSR59,FSR60,FSR61,FSR62,FSR63,FSR64
17,38,0,0,0,0,0,0,22,0,0,0,0,17,0,0,0,34,0,0,0,42,0,0,0,25,91,18,29,79,0,0,0,34,51,99,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,33,0,0,0,0,0,0,28,0,0,0,0,23,0,0,0,38,0,0,0,38,0,0,0,29,83,0,34,82,0,0,0,36,57,92,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,37,0,0,0,0,0,0,24,0,18,0,0,17,0,0,0,35,18,0,0,42,0,0,0,32,93,0,28,86,0,0,0,37,56,97,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,34,0,0,0,17,0,0,24,0,0,0,0,22,0,0,0,28,0,0,0,44,0,0,0,30,88,0,33,77,0,0,0,24,47,87,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,31,0,0,0,39,0,0,0,23,89,18,35,79,0,0,0,28,56,99,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,0,0,0,0,0,0,20,0,0,0,0,18,0,0,0,32,0,0,0,44,0,0,0,26,93,20,32,87,0,0,0,36,62,99,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,36,0,0,0,0,0,0,25,0,0,0,0,24,0,0,0,39,0,0,0,38,0,0,0,39,96,0,35,74,0,0,0,36,69,96,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,32,0,0,0,0,0,0,16,0,0,0,0,25,0,0,0,41,0,0,0,36,0,0,0,30,92,19,37,82,0,0,0,32,56,102,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,0,0,0,17,0,0,20,0,0,0,0,25,0,0,0,30,0,0,0,37,0,0,0,38,94,0,37,81,0,0,0,28,57,98,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,36,0,0,0,0,0,0,22,0,0,0,0,23,0,0,0,41,0,0,0,41,0,0,0,39,91,21,36,82,0,0,0,35,64,105,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,30,0,0,0,0,0,0,24,0,17,0,16,22,0,0,0,39,18,0,0,41,0,0,0,32,95,0,36,77,0,0,0,29,64,88,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,35,0,0,0,0,0,0,30,0,0,0,0,26,0,0,0,43,18,0,0,42,0,0,0,36,96,17,35,88,0,0,0,25,52,95,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,34,0,0,0,0,0,0,28,0,0,0,0,27,0,0,0,40,0,0,0,45,0,0,0,37,93,19,36,83,0,0,0,38,57,101,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,0,0,0,0,0,0,28,0,0,0,0,23,0,0,0,36,0,0,0,33,0,0,0,36,105,19,33,80,0,0,0,26,65,97,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,0,0,0,0,0,0,29,0,0,0,0,19,0,0,0,39,0,0,0,42,0,0,0,38,95,16,27,87,0,0,0,36,62,96,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,0,0,0,0,0,0,22,0,0,0,0,20,0,0,0,41,0,0,0,43,0,0,0,32,88,0,37,86,0,0,0,35,45,102,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33,0,0,0,16,0,0,20,0,0,0,0,22,0,0,0,32,16,0,0,39,0,0,0,24,90,0,42,83,0,0,0,35,53,91,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,0,0,0,0,0,0,22,0,19,0,0,0,0,0,0,39,0,0,0,45,0,0,0,32,94,20,32,92,0,0,0,35,55,97,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,0,0,0,0,0,0,18,0,16,0,16,26,0,0,0,37,18,0,0,42,0,0,0,36,94,18,41,92,0,0,0,30,54,101,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,0,0,0,0,0,0,18,0,0,0,0,21,0,0,0,40,20,0,38,71,0,0,0,41,267,0,56,140,0,0,0,24,0,19,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,35,0,0,0,18,0,0,28,0,27,0,24,37,0,0,0,47,27,0,62,68,0,0,0,29,247,22,40,111,0,0,0,0,0,20,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,31,0,0,16,26,0,0,37,0,26,0,23,31,0,0,0,48,34,0,60,76,0,0,0,35,303,0,73,138,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,31,0,0,16,18,0,0,25,0,28,0,18,35,0,0,0,51,34,0,58,70,0,0,0,24,283,21,56,108,0,0,0,0,0,16,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,31,0,0,20,0,0,0,27,0,26,0,24,27,0,0,0,44,34,0,54,61,0,0,0,37,310,0,62,110,0,0,0,17,0,21,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,39,0,0,18,21,0,0,28,0,29,0,27,34,0,0,0,50,30,0,52,55,0,0,0,28,392,26,33,74,0,0,0,0,0,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,41,0,0,0,0,0,0,34,16,26,0,0,0,0,0,31,66,40,0,0,0,0,0,0,113,294,0,0,0,0,0,0,27,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,46,0,0,0,0,0,0,45,20,19,0,0,0,0,0,20,65,43,0,18,0,0,0,0,104,246,0,16,19,0,0,0,20,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,0,0,0,16,0,0,0,0,0,0,0,26,0,0,0,23,0,0,43,81,0,0,0,0,36,0,87,363,0,0,0,0,0,16,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,23,0,0,0,0,0,0,0,0,0,0,23,33,0,0,0,30,24,0,58,71,0,0,0,16,127,0,112,209,0,0,0,0,0,28,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29,0,0,0,0,0,0,25,0,16,0,0,28,0,0,0,48,19,0,43,39,0,0,0,42,245,20,61,74,0,0,0,26,21,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,34,0,0,0,0,0,0,29,0,18,0,0,31,0,0,0,54,24,0,39,64,0,0,0,39,240,18,84,140,0,0,0,19,22,23,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,0,0,0,0,0,0,30,0,19,0,0,29,0,0,0,51,35,0,46,50,0,0,0,42,264,18,94,122,0,0,0,27,25,24,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,0,30,0,27,0,0,28,0,0,0,53,34,0,48,52,0,0,0,41,294,20,83,120,0,0,0,21,20,33,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,33,0,0,18,0,0,0,22,0,19,0,16,35,0,0,0,54,34,0,61,52,0,0,0,38,269,20,45,78,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,42,0,0,25,26,0,0,42,18,34,0,26,43,0,0,0,53,36,0,66,52,0,0,0,21,98,0,26,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,47,0,0,23,19,0,0,33,18,36,0,26,42,0,0,0,53,28,0,74,60,0,0,0,22,162,19,45,84,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,40,0,0,22,16,0,0,34,18,35,0,21,39,0,0,0,57,39,0,61,57,0,0,0,30,211,0,57,88,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,39,0,0,22,21,0,0,31,22,37,0,26,38,0,0,0,49,38,0,60,55,0,0,0,35,224,19,59,92,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,40,0,0,23,18,0,0,39,21,31,0,28,35,0,0,0,57,38,0,66,54,0,0,0,40,201,20,54,93,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,37,0,0,20,0,0,0,38,18,32,0,25,35,0,0,0,53,40,0,63,61,0,0,0,31,216,21,75,105,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,38,0,0,24,22,0,0,30,17,32,0,23,36,0,0,0,59,26,0,59,62,0,0,0,26,249,0,87,123,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
